"fr","en"
"Choisissez la variable cible.","Choose the target variable."
"Colinéarité parfaite détectée","Perfect collinearity detected"
"Copier dans le presse-papiers","Copy to the clipboard"
"Corrélations significatives :","Significant correlations:"
"Couleur de la courbe / points","Curve / point colour"
"Déduit du texte s'il est vide","Inferred from the text if empty"
"Erreur d'approximation faible","Low approximation error"
"Erreur lors de la mise à jour","Error during the update"
"Éviter la séparation parfaite","Avoid perfect separation"
"G2 (rapport de vraisemblance)","G2 (likelihood ratio)"
"Indépendance des observations","Independence of observations"
"Indice de Davies-Bouldin (DB)","Davies-Bouldin index (DB)"
"Indice de Simpson (diversité)","Simpson index (diversity)"
"L'ANOVA montre une différence","The ANOVA shows a difference"
"Nombre de répétitions / blocs","Number of replicates / blocks"
"Non applicable (1 prédicteur)","Not applicable (1 predictor)"
"Personnalisation des labels X","X label customisation"
"Personnalisation du Graphique","Plot customisation"
"Plus c'est élevé, mieux c'est","The higher the better"
"Qualité de la partition mixte","Mixed partition quality"
"Rapport d'analyse statistique","Statistical analysis report"
"Réseau de neurones (1 couche)","Neural network (1 layer)"
"Retester sur var. transformée","Retest on transformed var."
"Sélectionnez des variables...","Select variables..."
"Sélectionnez les variables...","Select the variables..."
"Significatif -- ACP justifiée","Significant -- PCA justified"
"Surface traitée par cuve (ha)","Area treated per tank (ha)"
"Taille des labels (individus)","Label size (individuals)"
"Télécharger PERMANOVA (.xlsx)","Download PERMANOVA (.xlsx)"
"Test du signe (1 échantillon)","Sign test (1 sample)"
"TOST (équivalence à la norme)","TOST (equivalence to the norm)"
"Total de lignes disponibles :","Total rows available:"
"Total de modalités distinctes","Total distinct categories"
"Une ligne par matière active.","One row per active ingredient."
"Valeurs négatives détectées :","Negative values detected:"
"Validation croisée conseillée","Cross-validation advised"
"Validation croisée désactivée","Cross-validation off"
"Variable numérique à découper","Numeric variable to bin"
"Variables sans aucun manquant","Variables with no missing value"
"Vérification de faisabilité :","Feasibility check:"
"Adéquation des données à l'ACP","Data suitability for PCA"
"Adopter la méthode recommandée","Adopt the recommended method"
"AFD - Projection des individus","LDA - Individual projection"
"Affectations traits / méthodes","Trait / method assignments"
"Ajouter une Variable Constante","Add a constant variable"
"Analyse des valeurs manquantes","Missing value analysis"
"Application du dictionnaire...","Applying the dictionary..."
"Aucune association (référence)","No association (reference)"
"Aucune donnée ordinale valide.","No valid ordinal data."
"Chi² d'ajustement (chisq.test)","Goodness-of-fit chi-square (chisq.test)"
"Choisissez variable et groupe.","Choose variable and group."
"Corriger la multicolinéarité :","Correct the multicollinearity:"
"Courbes de seuils d'efficacité","Efficacy threshold curves"
"Décomposition des interactions","Interaction decomposition"
"Écart-type (test z / variance)","Standard deviation (z-test / variance)"
"Erreur non paramétrique répété","Repeated non-parametric error"
"Filtre par colonnes appliqué :","Column filter applied:"
"Filtrer sur lignes (optionnel)","Filter on rows (optional)"
"Format d'affichage sur l'axe :","Display format on the axis:"
"Gestion de la taille de bloc k","Block size k management"
"Hérite des conditions de l'ACP","Inherits the PCA conditions"
"Importance des variables (VIP)","Variable importance (VIP)"
"Indépendance des observations.","Independence of observations."
"Le modèle analyse le corpus...","The model is analysing the corpus..."
"Lettres de groupes homogènes :","Homogeneous group letters:"
"Mardia (normalité multivariée)","Mardia (multivariate normality)"
"Modalités à effectif suffisant","Categories with sufficient counts"
"Modifier les labels de légende","Edit the legend labels"
"Multicolinéarité problématique","Problematic multicollinearity"
"Normalité multivariée (Mardia)","Multivariate normality (Mardia)"
"Personnalisation en temps réel","Real-time customisation"
"Test de sphéricité de Bartlett","Bartlett's test of sphericity"
"Tests paramétriques uniquement","Parametric tests only"
"Toutes doivent être numériques","All must be numeric"
"Trop peu de données appariées.","Too few paired data."
"Validité convergente (r moyen)","Convergent validity (mean r)"
"Validité discriminante établie","Discriminant validity established"
"Validité du Chi2 satisfaisante","Chi-square validity satisfactory"
"Variable réponse Y (numérique)","Y response variable (numeric)"
"Variance des résidus constante","Constant residual variance"
"Vérifiez l'adresse ci-dessous.","Check the address below."
"Wilcoxon signé (1 échantillon)","Signed Wilcoxon (1 sample)"
"Analyse des seuils d'efficacité","Efficacy threshold analysis"
"Analyse multivariée (distances)","Multivariate analysis (distances)"
"Au moins 1 variable qualitative","At least 1 qualitative variable"
"Aucune légende à personnaliser.","No legend to customise."
"Ce que vos résultats signifient","What your results mean"
"Choisissez une série numérique.","Choose a numeric series."
"Classer les moyennes par groupe","Rank the means by group"
"Courbe saisonnière avec lissage","Seasonal curve with smoothing"
"DLM (modèle linéaire dynamique)","DLM (dynamic linear model)"
"Effectifs théoriques (attendus)","Expected counts"
"Erreur création dataframes HCPC","HCPC dataframe creation error"
"Export des métriques HCPC / CAH","HCPC / HAC metrics export"
"Génère ifelse() dans la formule","Generates ifelse() in the formula"
"Gestion des Variables et Lignes","Variable and row management"
"Intervalle de confiance affiché","Confidence interval shown"
"Lancer la classification (HCPC)","Run the clustering (HCPC)"
"Le package 'duckdb' est requis.","The 'duckdb' package is required."
"Le test t montre une différence","The t-test shows a difference"
"Modalité comptée (« succès ») :","Category counted (""success""):"
"Mode hors-mémoire (out-of-core)","Out-of-core mode"
"Non calculable sur ces données.","Not computable on these data."
"Paires de variables corrélées :","Correlated variable pairs:"
"PÉRIODE CRITIQUE de désherbage.","CRITICAL PERIOD for weeding."
"Personnalisation des Étiquettes","Label customisation"
"Pillai (robuste aux violations)","Pillai (robust to violations)"
"Qualité d'ajustement & validité","Goodness of fit & validity"
"Rapports de cotes (odds ratios)","Odds ratios"
"T2 sarclage mécanique 15+30 JAS","T2 mechanical weeding 15+30 DAS"
"Taille des labels des individus","Individual label size"
"Taille des labels des variables","Variable label size"
"Test non paramétrique répété...","Repeated non-parametric test..."
"Trop de cases à faible effectif","Too many low-count cells"
"Un facteur par ligne. Exemple :","One factor per row. Example:"
"Variables suggérées à retirer :","Variables suggested for removal:"
"3. Après effet de plan (grappes)","3. After design effect (clusters)"
"Accord modéré au-delà du hasard.","Moderate agreement beyond chance."
"Adéquation & qualité factorielle","Suitability & factor quality"
"AFD - Contribution des variables","LDA - Variable contribution"
"Analyse factorielle exploratoire","Exploratory factor analysis"
"Analyse ordinale (Likert, rangs)","Ordinal analysis (Likert, ranks)"
"ANOVA ou comparaisons multiples.","ANOVA or multiple comparisons."
"Au moins 1 variable quantitative","At least 1 quantitative variable"
"Aucune valeur non-NA disponible.","No non-NA value available."
"Charger depuis le jeu de données","Load from the dataset"
"Choisir le minimum optimisant Q2","Choose the minimum optimising Q2"
"Complètement randomise (DCR/CRD)","Completely randomised (CRD)"
"Échec de l'installation de torch","torch installation failed"
"Effet de méthode non négligeable","Non-negligible method effect"
"État des données après nettoyage","Data state after cleaning"
"Graphique des hauteurs de fusion","Merge height plot"
"Importez au moins deux fichiers.","Import at least two files."
"Indice de Calinski-Harabasz (CH)","Calinski-Harabasz index (CH)"
"Interaction de tous les facteurs","Interaction of all factors"
"Le modèle doit contenir au moins","The model must contain at least"
"Métriques de validation de l'ACP","PCA validation metrics"
"Modalités par variable (moyenne)","Categories per variable (mean)"
"Non calculé (table trop grande).","Not computed (table too large)."
"Pour une autre fonction, activez","For another function, enable"
"Proportion au-dessus de la norme","Proportion above the norm"
"Rédaction de l'interprétation...","Writing the interpretation..."
"Résidus standardisés (ajustés) :","Standardised (adjusted) residuals:"
"Sélection des axes à représenter","Selection of axes to display"
"Sélectionnez au moins un modèle.","Select at least one model."
"Solution mère nécessaire (total)","Stock solution required (total)"
"STL : série saisonnière requise.","STL: seasonal series required."
"Test binomial exact (proportion)","Exact binomial test (proportion)"
"Test Scheirer-Ray-Hare terminé :","Scheirer-Ray-Hare test completed:"
"Texte blanc sur cellules sombres","White text on dark cells"
"Trop peu de réponses textuelles.","Too few text responses."
"Analyse en Classes Latentes (LCA)","Latent class analysis (LCA)"
"Analyse factorielle confirmatoire","Confirmatory factor analysis"
"Association & qualité factorielle","Association & factor quality"
"Atelier de codage (thématisation)","Coding workbench (topic coding)"
"Bloc qualitatif : &ge; 1 variable","Qualitative block: &ge; 1 variable"
"Choisissez au moins une variable.","Choose at least one variable."
"Classification hiérarchique (CAH)","Hierarchical clustering (HAC)"
"Colinéarité modérée (|r| >= 0.80)","Moderate collinearity (|r| >= 0.80)"
"Combien de fois plus de produit ?","How many times more product?"
"Complétion des valeurs manquantes","Missing value imputation"
"Corrélation de Spearman / Kendall","Spearman / Kendall correlation"
"Courbe indisponible pour ce test.","Curve unavailable for this test."
"Définition des Types de Variables","Variable type definition"
"Effectifs théoriques (attendus) :","Expected counts:"
"Interprétation des effets simples","Simple effect interpretation"
"Lettres par cellule d'interaction","Letters per interaction cell"
"Modèle de mesure (syntaxe lavaan)","Measurement model (lavaan syntax)"
"Modèle spécifie en syntaxe lavaan","Model specified in lavaan syntax"
"Pas assez d'observations valides.","Not enough valid observations."
"Pourcentage de valeurs manquantes","Percentage of missing values"
"Repli automatique : médiane/mode.","Automatic fallback: median/mode."
"Repli sur la lecture automatique.","Falling back to automatic reading."
"Structure en groupes de variables","Structure in variable groups"
"Taux de classification par groupe","Classification rate per group"
"Test des rangs signés de Wilcoxon","Wilcoxon signed-rank test"
"Tester normalité (données brutes)","Test normality (raw data)"
"Traitement des Valeurs Manquantes","Missing value handling"
"Variable réponse Y (catégorielle)","Y response variable (categorical)"
"Variable-ligne + variable-colonne","Row variable + column variable"
"Variables mixtes (quanti + quali)","Mixed variables (quanti + quali)"
"Variables sur l'axe Y2 (droite) :","Variables on the Y2 axis (right):"
"Activer la sélection multiple de Y","Enable multiple Y selection"
"Analyse avec lissage des tendances","Analysis with trend smoothing"
"Analyse factorielle multiple (AFM)","Multiple factor analysis (MFA)"
"Analyse Factorielle Multiple (AFM)","Multiple factor analysis (MFA)"
"Aucun résultat de test disponible.","No test result available."
"Aucune ligne complète exploitable.","No usable complete row."
"Aucune proposition pour l'instant.","No suggestion yet."
"Bloc quantitatif : &ge; 1 variable","Quantitative block: &ge; 1 variable"
"Choisissez une variable à recoder.","Choose a variable to recode."
"Choisissez une variable numérique.","Choose a numeric variable."
"Choisissez une variable textuelle.","Choose a text variable."
"Contraintes de terrain (optionnel)","Field constraints (optional)"
"Conversion en graphique interactif","Conversion to interactive plot"
"Erreur dans le test de normalité :","Error in the normality test:"
"Indépendance locale conditionnelle","Conditional local independence"
"Indices de validation des clusters","Cluster validation indices"
"Intégration des blocs de variables","Integration of variable blocks"
"Le carnet de bord de votre analyse","The logbook of your analysis"
"Le modèle pré-code les réponses...","The model is pre-coding the responses..."
"Lignes _START_ à _END_ sur _TOTAL_","Rows _START_ to _END_ of _TOTAL_"
"Méthode recommandée sélectionnée :","Recommended method selected:"
"Observation (ordre du jeu de test)","Observation (test set order)"
"Opérations sur plusieurs variables","Operations on several variables"
"Par défaut: Seuil d'efficacité (%)","Default: Efficacy threshold (%)"
"Plus de classes => plus d'effectif","More classes => more counts"
"Post-hoc : comparaisons par paires","Post hoc: pairwise comparisons"
"Répartition modérément équilibrée.","Moderately balanced distribution."
"Sélectionnez au moins 2 variables.","Select at least 2 variables."
"Sélectionnez au moins 3 variables.","Select at least 3 variables."
"Seuls les NA stricts sont comptés.","Only strict NAs are counted."
"Stabilité par sous-échantillonnage","Stability by subsampling"
"Tableau mixte équilibre par l'AFDM","Mixed table balanced by FAMD"
"Taille totale de l'échantillon (N)","Total sample size (N)"
"Test des rangs signes de Wilcoxon.","Wilcoxon signed-rank test."
"Toutes les données seront perdues.","All data will be lost."
"Trop peu d'observations complètes.","Too few complete observations."
"Utiliser cette taille dans le plan","Use this size in the design"
"Variables numériques disponibles :","Numeric variables available:"
"Vérification des conditions -- ACP","Assumption check -- PCA"
"Vérification des conditions -- AFD","Assumption check -- LDA"
"Vérifier l'équilibre des effectifs","Check the balance of counts"
"AFM -- analyse factorielle multiple","MFA -- multiple factor analysis"
"Analyses multivariées QUANTITATIVES","QUANTITATIVE multivariate analyses"
"Aucune étiquette sur cette réponse.","No label on this response."
"Bonne capacité prédictive (80-90%).","Good predictive ability (80-90%)."
"Ce modèle a échoué sur ces données.","This model failed on these data."
"Choisissez les feuilles à combiner.","Choose the sheets to combine."
"Choisissez une variable à renommer.","Choose a variable to rename."
"Cliquez sur Détecter pour analyser.","Click Detect to analyse."
"Conditions -- Régression logistique","Assumptions -- Logistic regression"
"Critère complémentaire de sélection","Complementary selection criterion"
"Dimensions et espacement des barres","Bar dimensions and spacing"
"Données utilisées pour le graphique","Data used for the plot"
"Échelles libres pour chaque facette","Free scales for each facet"
"Erreur dans le test d'homogénéité :","Error in the homogeneity test:"
"Étiquettes des cellules (parcelles)","Cell labels (plots)"
"Exactement 2 variables qualitatives","Exactly 2 qualitative variables"
"Gestion des valeurs manquantes (NA)","Missing value handling (NA)"
"Inertie ajustée axes 1-2 (Benzecri)","Adjusted inertia axes 1-2 (Benzécri)"
"Khi-deux d'homogénéité des médianes","Chi-square for homogeneity of medians"
"Options d'exportation haute qualité","High-quality export options"
"Paramètres d'exportation de l'image","Image export settings"
"Pourcentages (utilisés directement)","Percentages (used directly)"
"Résidus standardisés — PostHoc Chi²","Standardised residuals — Chi-square post hoc"
"Résultats des Analyses Descriptives","Descriptive analysis results"
"Sélection automatique des variables","Automatic variable selection"
"Sélectionnez au moins 1 prédicteur.","Select at least 1 predictor."
"Stabilité du clustering (bootstrap)","Clustering stability (bootstrap)"
"SVM (machine à vecteurs de support)","SVM (support vector machine)"
"Test de Poisson (taux vs référence)","Poisson test (rate vs reference)"
"Test z (1 échantillon, sigma connu)","z-test (1 sample, known sigma)"
"Un document, transmissible tel quel","One document, shareable as is"
"Une seule modalité : rien à tester.","A single category: nothing to test."
"Valeurs Aberrantes et Winsorisation","Outliers and winsorisation"
"Validités significatives (p < 0,05)","Significant validities (p < 0.05)"
"Variance expliquée après rotation :","Variance explained after rotation:"
"Vérification des conditions -- HCPC","Assumption check -- HCPC"
"Violin: groupes ignorés (< 2 obs.):","Violin: groups ignored (< 2 obs.):"
"Volume à prélever dans la mère (Vi)","Volume to draw from the stock (Vi)"
"2. Après correction population finie","2. After finite population correction"
"Ajustement des p-values : Bonferroni","p-value adjustment: Bonferroni"
"Aucune modalité ne domine nettement.","No category clearly dominates."
"Aucune table dans ce fichier DuckDB.","No table in this DuckDB file."
"Aucune variable numérique disponible","No numeric variable available"
"Aucune variable valide sélectionnée.","No valid variable selected."
"Bon -- la discrimination est fiable.","Good -- the discrimination is reliable."
"Ce sur quoi repose la recommandation","What the recommendation rests on"
"Cliquez pour insérer dans la formule","Click to insert into the formula"
"Comparaisons par paires des cellules","Pairwise comparisons of the cells"
"Critère de Kaiser : axes informatifs","Kaiser criterion: informative axes"
"Définir explicitement les deux blocs","Define both blocks explicitly"
"Éléments supplémentaires (optionnel)","Supplementary elements (optional)"
"Indice de Herfindahl (concentration)","Herfindahl index (concentration)"
"Installation des bibliothèques torch","Installing the torch libraries"
"KMO & Bartlett vérifies au lancement","KMO & Bartlett checked at launch"
"Le témoin choisi n'existe pas dans «","The chosen control does not exist in """
"Les deux types doivent être présents","Both types must be present"
"MANOVA nécessite au moins 1 facteur.","MANOVA requires at least 1 factor."
"Mettre toutes les étiquettes en gras","Set all labels in bold"
"Mise à jour instantanée du graphique","Instant plot update"
"Nettoyage et Préparation des Données","Data cleaning and preparation"
"Nombre de traitements (combinaisons)","Number of treatments (combinations)"
"Paramètres de sortie (style G*Power)","Output settings (G*Power style)"
"Plus faible = clusters plus compacts","Lower = more compact clusters"
"Recommandé : min. 20 obs. par groupe","Recommended: min. 20 obs. per group"
"Réduction/augmentation du risque (%)","Risk reduction/increase (%)"
"Régression logistique / multinomiale","Logistic / multinomial regression"
"Résultats de la rotation orthogonale","Orthogonal rotation results"
"Sélectionnez au moins deux facteurs.","Select at least two factors."
"Sélectionnez au moins deux feuilles.","Select at least two sheets."
"Télécharger Excel (lettres + paires)","Download Excel (letters + pairs)"
"Toutes les combinaisons de modalités","All category combinations"
"Traitement des valeurs aberrantes...","Handling outliers..."
"Traitement des valeurs manquantes...","Handling missing values..."
"Type : Courbe d'évolution temporelle","Type: Time trend curve"
"Type non pris en charge par DuckDB :","Type not supported by DuckDB:"
"Uniquement si l'axe X est numérique.","Only if the X axis is numeric."
"Variable à discriminer (OBLIGATOIRE)","Variable to discriminate (REQUIRED)"
"Variables qualitatives (indicateurs)","Qualitative variables (indicators)"
"Variables transformées sélectionnées","Selected transformed variables"
"Voir les tests numériques ci-dessous","See the numeric tests below"
"À 15, 30, 45 et 60 JAS, puis récolte.","At 15, 30, 45 and 60 DAS, then harvest."
"Acceptable -- des erreurs subsistent.","Acceptable -- errors remain."
"Accord substantiel au-delà du hasard.","Substantial agreement beyond chance."
"Au moins 2 facteurs étudiés (croisés)","At least 2 factors studied (crossed)"
"Au moins 2 facteurs sont sélectionnés","At least 2 factors are selected"
"Aucune interprétation pour l'instant.","No interpretation yet."
"Aucune variable numérique disponible.","No numeric variable available."
"Capturer une tendance moyenne simple.","Capture a simple average trend."
"Diagnostic terminé. Test recommandé :","Diagnostic completed. Recommended test:"
"Élément non autorisé dans la formule.","Element not allowed in the formula."
"En attente du lancement de l'analyse.","Waiting for the analysis to start."
"Formule libre (avancé, prioritaire) :","Free formula (advanced, takes priority):"
"Fréquences (utilisées telles quelles)","Frequencies (used as is)"
"Homogénéité des covariances (Box's M)","Homogeneity of covariances (Box's M)"
"Le nouveau nom ne peut pas être vide.","The new name cannot be empty."
"Le test d'équivalence exige une marge","The equivalence test requires a margin"
"Les résultats peuvent être instables.","The results may be unstable."
"MINIMALE qui préservent le rendement.","MINIMAL that preserve the yield."
"Non réalisée (corpus trop restreint).","Not performed (corpus too small)."
"Non significatif -- ACP non justifiée","Not significant -- PCA not justified"
"PERMANOVA (pseudo-F par permutations)","PERMANOVA (pseudo-F by permutations)"
"Plus faible = clusters plus homogènes","Lower = more homogeneous clusters"
"Position (décalage diagonal par bloc)","Position (diagonal offset per block)"
"Prédicteurs corrélés : aucun problème","Correlated predictors: no problem"
"Qualité d'ajustement & discrimination","Goodness of fit & discrimination"
"Regrouper les modalités rares (< 5 %)","Group rare categories (< 5%)"
"Résidus indisponibles pour ce modèle.","Residuals unavailable for this model."
"Sélectionnez au moins deux variables.","Select at least two variables."
"Sous-estimé la structure (à corriger)","Underestimated the structure (to correct)"
"Télécharger données complètes (Excel)","Download complete data (Excel)"
"Thématisation automatique uniquement.","Automatic topic modelling only."
"Variables à variance nulle ignorées :","Zero-variance variables ignored:"
"Variables quantitatives (OBLIGATOIRE)","Quantitative variables (REQUIRED)"
"Y2 utilise la même agrégation que Y1.","Y2 uses the same aggregation as Y1."
"1. Taille de base (population infinie)","1. Base size (infinite population)"
"Analyse Factorielle Exploratoire (AFE)","Exploratory factor analysis (EFA)"
"Anti-jointure (2e sans correspondance)","Anti-join (2nd without match)"
"Arial Bold, Helvetica Bold, sans-serif","Arial Bold, Helvetica Bold, sans-serif"
"Aucun mot exploitable après nettoyage.","No usable word after cleaning."
"Classes d'intervalles (discrétisation)","Interval classes (binning)"
"Comparaisons par paires indisponibles.","Pairwise comparisons unavailable."
"Consensus modéré entre les répondants.","Moderate consensus among respondents."
"Couleurs : Distinguent les variables Y","Colours: Distinguish the Y variables"
"Erreur dans le test de Durbin-Watson :","Error in the Durbin-Watson test:"
"Grammage de matière active (g m.a./ha)","Active ingredient rate (g a.i./ha)"
"Homogénéité des dispersions (PERMDISP)","Homogeneity of dispersions (PERMDISP)"
"Le pourcentage d'accord reste lisible.","The percentage agreement remains readable."
"Le test du chi² montre une association","The chi-square test shows an association"
"Les traits dominent l'effet de méthode","Traits dominate the method effect"
"Méthode de transformation inconnue : '","Unknown transformation method: '"
"Mode multi-Y : Agrégation par variable","Multi-Y mode: Aggregation per variable"
"Personnalisation des labels de légende","Legend label customisation"
"Proche de 2 : indépendance des résidus","Close to 2: independence of residuals"
"Régression logistique binaire estimée.","Binary logistic regression fitted."
"Réordonner (regroupement hiérarchique)","Reorder (hierarchical grouping)"
"Résultats PERMANOVA (par permutations)","PERMANOVA results (by permutations)"
"Structure et qualité du jeu de données","Structure and quality of the dataset"
"Structure factorielle (données mixtes)","Factor structure (mixed data)"
"Trace des figures pour l'impression...","Drawing the figures for printing..."
"Validation croisée Leave-One-Out (LOO)","Leave-one-out cross-validation (LOO)"
"Accord quasi parfait au-delà du hasard.","Almost perfect agreement beyond chance."
"Anti-jointure (1er sans correspondance)","Anti-join (1st without match)"
"Citation copiée dans le presse-papiers.","Citation copied to the clipboard."
"Concentration de la bouillie (g m.a./L)","Spray concentration (g a.i./L)"
"Désactivée (mots conservés tels quels).","Off (words kept as is)."
"DLNM (retards distribues non linéaires)","DLNM (distributed non-linear lags)"
"Échantillon trop petit pour Mahalanobis","Sample too small for Mahalanobis"
"Erreur dans les diagnostics graphiques:","Error in the graphical diagnostics:"
"Erreur lors de la création du graphique","Error while creating the plot"
"Gratuit, local et hors ligne par défaut","Free, local and offline by default"
"La cible doit avoir au moins 2 classes.","The target must have at least 2 classes."
"Laissez vide pour conserver l'original.","Leave empty to keep the original."
"Mesures répétées (rmANOVA & non param.)","Repeated measures (rmANOVA & non-param.)"
"Méthode locale sans hypothèse de forme.","Local method with no shape assumption."
"Minimum : p &ge; 2 variables numériques","Minimum: p &ge; 2 numeric variables"
"Minimum : p &ge; 3 variables numériques","Minimum: p &ge; 3 numeric variables"
"Modéré (0,40 - 0,60) -- accord partiel.","Moderate (0.40 - 0.60) -- partial agreement."
"NNAR (réseau de neurones autoregressif)","NNAR (autoregressive neural network)"
"OR doit différer de 1 et p0 dans ]0,1[.","OR must differ from 1 and p0 lie in ]0,1[."
"Paramètres de modification du graphique","Plot modification settings"
"Pas de structure substantielle (< 0,25)","No substantial structure (< 0.25)"
"Prophet nécessite une colonne de dates.","Prophet requires a date column."
"Référence pour les séries saisonnières.","Reference for seasonal series."
"Représentation acceptable (0,75 - 0,80)","Acceptable representation (0.75 - 0.80)"
"Résidus constants (ajustement parfait).","Constant residuals (perfect fit)."
"Semi-jointure (1er avec correspondance)","Semi-join (1st with match)"
"Seuils de lecture (en valeur absolue) :","Reading thresholds (in absolute value):"
"Symétrie approximative des différences.","Approximate symmetry of the differences."
"Taille des labels des individus (carte)","Individual label size (map)"
"Tirage d'un nouvel échantillon (DuckDB)","Drawing a new sample (DuckDB)"
"Trop peu de valeurs numériques valides.","Too few valid numeric values."
"1 facteur étudié (souvent 2 traitements)","1 factor studied (often 2 treatments)"
"100 %, que la droite ne peut pas tracer.","100%, which the line cannot draw."
"ACP - Analyse en Composantes Principales","PCA - Principal component analysis"
"ACP (analyse en composantes principales)","PCA (principal component analysis)"
"Affichage limite aux premières trouvées.","Display limited to the first ones found."
"Août 04-10","August 04-10"
"Septembre 01-07","September 01-07"
"Juillet 28-03","July 28-03"
"Aucune variable catégorielle disponible.","No categorical variable available."
"Aucune variable continue pour une pente.","No continuous variable for a slope."
"Calcul exact sur le jeu complet (DuckDB)","Exact computation on the full dataset (DuckDB)"
"Capacité prédictive acceptable (70-80%).","Acceptable predictive ability (70-80%)."
"Ce test exige un écart-type de référence","This test requires a reference standard deviation"
"Choisissez au moins 2 colonnes binaires.","Choose at least 2 binary columns."
"Cliquez sur les lignes (Ctrl = multiple)","Click the rows (Ctrl = multiple)"
"Combine ACP et ACM pour tableaux mixtes.","Combines PCA and MCA for mixed tables."
"Définissez Y et au moins 1 prédicteur X.","Define Y and at least 1 X predictor."
"Différence négligeable -- modèle stable.","Negligible difference -- stable model."
"Effet aléatoire d'ordonnée à l'origine :","Random intercept effect:"
"Erreur lors du rendu des métriques AFD :","Error while rendering the LDA metrics:"
"Évolution : agrégation auto par moyenne.","Trend: automatic aggregation by mean."
"Excellente capacité prédictive (>= 90%).","Excellent predictive ability (>= 90%)."
"Filtrage (2 facteurs) appliqué. Lignes :","Filtering (2 factors) applied. Rows:"
"Filtrage (N facteurs) appliqué. Lignes :","Filtering (N factors) applied. Rows:"
"Homogénéité des dispersions (betadisper)","Homogeneity of dispersions (betadisper)"
"Le nouveau nom est identique à l'ancien.","The new name is identical to the old one."
"Mesure l'intensité globale d'association","Measures the overall strength of association"
"Orientation des traitements dans le bloc","Treatment orientation within the block"
"Regrouper les modalités rares (&lt; 5 %)","Group rare categories (&lt; 5%)"
"Répartition automatique de l'échantillon","Automatic sample allocation"
"Standardisation du quantitatif appliquée","Standardisation of the quantitative applied"
"Style du texte, des points et des tracés","Style of text, points and lines"
"Toutes les validités sont significatives","All validities are significant"
"0,20-0,40 bon ajustement (échelle propre)","0.20-0.40 good fit (clean scale)"
"Analyse Factorielle Confirmatoire (AFC-c)","Confirmatory factor analysis (CFA)"
"Au moins 2 valeurs valides sont requises.","At least 2 valid values are required."
"Aucune sortie console pour cette analyse.","No console output for this analysis."
"Certaines validités ne diffèrent pas de 0","Some validities do not differ from 0"
"Clustering robuste aux valeurs atypiques.","Clustering robust to outliers."
"Critère de sélection du nombre de classes","Criterion for selecting the number of classes"
"Définissez Y et au moins 2 prédicteurs X.","Define Y and at least 2 X predictors."
"Effectif trop faible pour une AFE fiable.","Sample too small for a reliable EFA."
"Format invalide -- vérifiez votre saisie.","Invalid format -- check your entry."
"Forte concentration sur peu de modalités.","Strong concentration on few categories."
"Holt-Winters : série saisonnière requise.","Holt-Winters: seasonal series required."
"Indépendant de 'Épaisseur des lignes' Y1.","Independent of Y1 'Line thickness'."
"Le split-split-plot nécessite 3 facteurs.","The split-split-plot requires 3 factors."
"Le test de Wilcoxon montre une différence","The Wilcoxon test shows a difference"
"Minimum : p &ge; 2 variables qualitatives","Minimum: p &ge; 2 qualitative variables"
"Minimum : p &ge; 3 variables qualitatives","Minimum: p &ge; 3 qualitative variables"
"Non calculable : une seule classe estimée","Not computable: a single class estimated"
"Ordre des modalités correctement déclaré.","Category order correctly declared."
"Règle : &ge; 10 événements par prédicteur","Rule: &ge; 10 events per predictor"
"Regroupement de modalités, puis chi-deux.","Grouping of categories, then chi-square."
"Ses propositions restent des propositions","Its suggestions remain suggestions"
"Test du Chi² de conformité d'une variance","Chi-square test for a variance"
"Trop peu de données appariées pour OR/RR.","Too few paired data for OR/RR."
"Accord négligeable : équivalent au hasard.","Negligible agreement: equivalent to chance."
"Affectation trait/méthode manquante pour :","Trait/method assignment missing for:"
"Analyses de données qualitatives d'enquête","Qualitative survey data analyses"
"Aucune donnée : chargez un jeu de données.","No data: load a dataset."
"Bon (0,8 - 0,9) -- L'ACP est bien adaptée.","Good (0.8 - 0.9) -- PCA is well suited."
"Centres des clusters (variables d'origine)","Cluster centres (original variables)"
"Conditions -- Régression linéaire multiple","Assumptions -- Multiple linear regression"
"Contributions absolues (CTR) des variables","Absolute contributions (CTR) of the variables"
"Détection automatique des types de données","Automatic data type detection"
"Effet de méthode (|r| monoM - |r| hétéroM)","Method effect (|r| monoM - |r| heteroM)"
"Elle ne choisit ni ne lance aucune analyse","It neither chooses nor runs any analysis"
"Éviter clusters vides ou très minoritaires","Avoid empty or very small clusters"
"Excel et CSV gardent toute leur précision.","Excel and CSV keep their full precision."
"Facteur d'Inflation de la Variance (VIF) :","Variance inflation factor (VIF):"
"Impossible de déduire trait/méthode pour :","Cannot infer trait/method for:"
"Intensité de l'association lignes/colonnes","Strength of the row/column association"
"Le dendrogramme n'est pas centré sur (0,0)","The dendrogram is not centred on (0,0)"
"Le test de normalité n'est pas applicable.","The normality test is not applicable."
"Principes, objectifs & conditions de l'ACP","Principles, aims & assumptions of PCA"
"Principes, objectifs & conditions de l'AFD","Principles, aims & assumptions of LDA"
"Renseignez la syntaxe du modèle de mesure.","Enter the measurement model syntax."
"Réponses concentrées sur peu de modalités.","Responses concentrated on few categories."
"Réponses très équilibrées entre modalités.","Responses very balanced across categories."
